数据来源部门,业务域,表英文名称,表中文名称,字段英文名称,字段中文名称,字段说明,字段类型,字段长度,是否主键,是否外键,外键关联字段,来源表的英文名称,来源表的中文名称,来源字段的英文名称,来源字段的中文名称,备注
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,ghdwid,供应商申请编码,,varchar(50),50,PK,,,ods_cg_b2b_ghdw,供应商申请表,GHDWID,供应商申请编码,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,tjdwbm,准入单位编码,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,TJDWBM,准入单位编码,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,tjdwmc,准入单位名称,,varchar(160),160,,,,ods_cg_b2b_ghdw,供应商申请表,TJDWMC,准入单位名称,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,ysdwbm,推荐单位编码,(供应商注册的预审单位),varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,YSDWBM,推荐单位编码(供应商注册的预审单位),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,ysdwmc,推荐单位名称,(供应商注册的预审单位),varchar(160),160,,,,ods_cg_b2b_ghdw,供应商申请表,YSDWMC,推荐单位名称(供应商注册的预审单位),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,dwmc,单位名称,,varchar(255),255,,,,ods_cg_b2b_ghdw,供应商申请表,DWMC,,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,dwjc,供应商简称,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,DWJC,供应商简称,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,dwdz,供应商单位地址,,varchar(250),250,,,,ods_cg_b2b_ghdw,供应商申请表,DWDZ,供应商地址,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,forebsdzjc,地址简称,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,FOREBSDZJC,地址简称,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,shef,所在国家,(取基础编码表中XTGHDW_GJ:001-中国；002-美国),varchar(10),10,,,,ods_cg_b2b_ghdw,供应商申请表,SHEF,所在国家(取基础编码表中XTGHDW_GJ:001-中国；002-美国),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,yzbm,邮政编码,,varchar(16),16,,,,ods_cg_b2b_ghdw,供应商申请表,YZBM,邮政编码,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,dbgh,电话区号,,varchar(16),16,,,,ods_cg_b2b_ghdw,供应商申请表,DBGH,电话区号,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,forebsszsf,省（州）,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,FOREBSSZSF,省(州),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,forebsszcs,城市,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,FOREBSSZCS,城市,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,forebsszx,县,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,FOREBSSZX,新增字段==================县,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,dwlb,准入类别,(取内部编码表中XTGHDW_ZRLB：0-总部供应商;1-所属企业供应商),char(1),1,,,,ods_cg_b2b_ghdw,供应商申请表,DWLB,"准入类别(取内部编码表中XTGHDW_ZRLB：0-总部供应商;1-所属企业供应商
            )",
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,dwpslb,评审类别,(取内部编码表中XTGHDW_PSLB：0-常规申请供应商;1-公开招标中标供应商),char(1),1,,,,ods_cg_b2b_ghdw,供应商申请表,DWPSLB,"评审类别(取内部编码表中XTGHDW_PSLB：0-常规申请供应商;1-公开招标中标供应商
            )",
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,qyxz,企业性质,(取基本编码表中XTGHDW_QYXZ：0-国有独资企业;1-股份责任公司),char(1),1,,,,ods_cg_b2b_ghdw,供应商申请表,QYXZ,"企业性质(取基本编码表中XTGHDW_QYXZ：0-国有独资企业;1-股份责任公司
            
            )",
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,dwfl,考评等级,注册时隐藏-预审以后可查看-(取内部编码表中XTGHDW_KPDJ：1-A级供应商;2-B级供应商;3-C级供应商;4-D级供应商;),varchar(16),16,,,,ods_cg_b2b_ghdw,供应商申请表,DWFL,注册时隐藏---预审以后可查看---考评等级(取内部编码表中XTGHDW_KPDJ：1-A级供应商;2-B级供应商;3-C级供应商;4-D级供应商;),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,dwgxlb,关系分类,注册时隐藏-预审以后可查看-(取内部编码表中XTGHDW_GXLB：0-战略供应商;1-主力供应商;2-关键供应商;3-一般供应商),varchar(16),16,,,,ods_cg_b2b_ghdw,供应商申请表,DWGXLB,"注册时隐藏---预审以后可查看---关系类别(取内部编码表中XTGHDW_GXLB：0-战略供应商;1-主力供应商;2-关键供应商;3-一般供应商
            )",
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,forebssfgq,是否国企,(取内部编码表中XTGHDW_SFGQ：0-否;1-是),varchar(16),16,,,,ods_cg_b2b_ghdw,供应商申请表,FOREBSSFGQ,是否国企(取内部编码表中XTGHDW_SFGQ：0-否;1-是),
