知识点,关系,知识点2
任务1 走近工业机器人,上级,工业机器人
什么是工业机器人,前置,走近工业机器人
什么是工业机器人,上级,任务1 走近工业机器人
我国对机器人的定义,前置,什么是工业机器人
我国对机器人的定义,后置,美国机器人工业协会（RIA）给出的定义
我国对机器人的定义,关联,工业机器人的特征
我国对机器人的定义,上级,什么是工业机器人
美国机器人工业协会（RIA）给出的定义,前置,我国对机器人的定义
美国机器人工业协会（RIA）给出的定义,关联,工业机器人的特征
美国机器人工业协会（RIA）给出的定义,上级,什么是工业机器人
工业机器人的特征,前置,什么是工业机器人
工业机器人的特征,后置,工业机器人的分类
工业机器人的特征,上级,什么是工业机器人
工业机器人的分类,前置,工业机器人的特征
工业机器人的分类,上级,任务1 走近工业机器人
按照工业机器人的承载重量分类,前置,工业机器人的分类
按照工业机器人的承载重量分类,后置,工业机器人的系统组成
按照工业机器人的承载重量分类,上级,工业机器人的分类
按照机器人各关节的连接方式分类,前置,工业机器人的分类
按照机器人各关节的连接方式分类,后置,工业机器人的系统组成
按照机器人各关节的连接方式分类,上级,工业机器人的分类
按照工业机器人的用途分类,前置,工业机器人的分类
按照工业机器人的用途分类,后置,工业机器人的系统组成
按照工业机器人的用途分类,上级,工业机器人的分类
工业机器人的系统组成,前置,工业机器人的特征
工业机器人的系统组成,后置,工业机器人本体
工业机器人的系统组成,后置,示教器
工业机器人的系统组成,后置,控制柜
工业机器人的系统组成,上级,任务1 走近工业机器人
工业机器人本体,前置,工业机器人的系统组成
工业机器人本体,关联,示教器
工业机器人本体,关联,控制柜
工业机器人本体,上级,工业机器人的系统组成
示教器,前置,工业机器人的系统组成
示教器,关联,工业机器人本体
示教器,关联,控制柜
示教器,上级,工业机器人的系统组成
控制柜,前置,工业机器人的系统组成
控制柜,关联,工业机器人本体
控制柜,关联,示教器
控制柜,上级,工业机器人的系统组成
使用示教器操作工业机器人动作,前置,工业机器人本体
使用示教器操作工业机器人动作,前置,示教器
使用示教器操作工业机器人动作,前置,控制柜
使用示教器操作工业机器人动作,上级,任务1 走近工业机器人
认识工业机器人的六个轴,前置,使用示教器操作工业机器人动作
认识工业机器人的六个轴,关联,工业机器人本体
认识工业机器人的六个轴,关联,示教器
认识工业机器人的六个轴,关联,控制柜
认识工业机器人的六个轴,上级,使用示教器操作工业机器人动作
