知识点,标签,认知维度,分类,教学目标,课程
DSQC 652,考点;难点,记忆,事实性,能描述DSQC 652,工业机器人
FOR重复执行判断指令,考点;难点,记忆,概念性,能使用FOR重复执行判断指令,工业机器人
IF条件判断指令,考点;难点,记忆,概念性,能使用IF条件判断指令,工业机器人
MoveC 运动指令,考点;难点,记忆,概念性,能描述MoveC 运动指令,工业机器人
MoveC特殊规定,考点;难点,分析,事实性,能分析MoveC指令特殊规定,工业机器人
MoveJ,考点;难点,记忆,概念性,能描述MoveJ 指令,工业机器人
MoveJ 运动指令,考点,理解,事实性,能使用MoveJ 运动指令,工业机器人
MoveJ指令参数含义,考点;难点,理解,概念性,能描述MoveJ指令参数含义,工业机器人
MoveL,考点;难点,记忆,概念性,能描述MoveL指令,工业机器人
MoveL 运动指令,考点;难点,理解,事实性,能使用MoveL运动指令,工业机器人
MoveL指令参数含义,考点;难点,分析,事实性,能分析MoveL指令参数含义,工业机器人
Offs,考点;难点,记忆,概念性,能分析Offs参数,工业机器人
PulseDO,考点;难点,记忆,概念性,能分析脉冲指令参数,工业机器人
RAPID程序的注意事项,考点,评价,元认知,能归纳总结RAPID程序的注意事项,工业机器人
RAPID程序结构,考点;难点,记忆,事实性,能描述RAPID程序结构,工业机器人
Reset,考点;难点,创建,程序性,能使用ReSet指令,工业机器人
Set,考点;难点,创建,程序性,能使用Set指令,工业机器人
Z/Fine的区别,考点;难点,分析,事实性,能分析Z/Fine的区别,工业机器人
Z值,考点;难点,评价,事实性,能分析Z值的应用特点,工业机器人
di16/do16,考点,记忆,事实性,能分析di16/do16参数设定,工业机器人
fine,考点;难点,评价,事实性,能分析fine的应用特点,工业机器人
中断程序,考点;难点,理解,事实性,能描述程序模块中断程序功能特点,工业机器人
为什么要进行转数计数器的更新,考点;难点,分析,元认知,能分析为什么要进行转数计数器的更新,工业机器人
主程序main,考点;难点,记忆,事实性,能描述主程序main功能特点,工业机器人
什么是RAPID程序,考点,理解,概念性,能描述什么是RAPID程序,工业机器人
什么是偏移指令,考点,记忆,概念性,能分析什么是偏移指令,工业机器人
什么是工业机器人,考点,理解,元认知,能根据特征描述常见的工业机器人,工业机器人
什么是工件坐标系,考点;难点,分析,元认知,能分析什么是工件坐标系,工业机器人
什么是赋值指令,考点,理解,概念性,能描述什么是赋值指令,工业机器人
什么是转数计数器,考点;难点,记忆,元认知,能描述什么是转数计数器,工业机器人
任务10 工业机器人赋值计算,考点;难点,理解,元认知,能进行工业机器人赋值计算,工业机器人
任务11 工业机器人功能函数,考点;难点,理解,元认知,能的使用工业机器人功能函数,工业机器人
任务12 工业机器人搬运,考点;难点,理解,元认知,能进行工业机器人搬运的调试,工业机器人
任务13 工业机器人外设通信,考点;难点,理解,元认知,能进行工业机器人外设通信设置,工业机器人
任务14 工业机器人挡风玻璃涂胶,考点;难点,理解,元认知,能进行工业机器人挡风玻璃涂胶,工业机器人
任务15 工业机器人搬运挡风玻璃-吸盘类工具,考点;难点,理解,元认知,能进行吸盘类工具搬运玻璃编程,工业机器人
任务16 工业机器人搬运码垛火花塞-气抓类工具,考点;难点,理解,元认知,能进行气抓类工具搬运码垛火花塞,工业机器人
任务17工业机器人涂胶-汽车灯壳涂胶,考点;难点,理解,元认知,能进行汽车灯壳涂胶,工业机器人
任务18 工业机器人焊接,考点;难点,理解,元认知,能进行工业机器人焊接,工业机器人
任务19 工业机器人装配,考点;难点,理解,元认知,能进行工业机器人装配,工业机器人
任务1 走近工业机器人,考点,,,能认识常见的工业机器人,工业机器人
任务20 工业机器人码垛,考点;难点,理解,元认知,能进行工业机器人码垛,工业机器人
任务2 工业机器人运动模式,考点;难点,理解,事实性,能分析工业机器人运动模式,工业机器人
任务3 工业机器人转数计数器的更新,考点;难点,理解,元认知,能进行工业机器人转数计数器的更新,工业机器人
任务4 建立工具坐标系,考点;难点,理解,元认知,能创建工具坐标系,工业机器人
任务5 建立工件坐标系,考点;难点,理解,元认知,能建立工件坐标系,工业机器人
任务6示教编程基础,考点;难点,理解,元认知,能描述示教编程,工业机器人
任务7 关节运动指令MoveJ,考点;难点,理解,元认知,能使用关节运动指令MoveJ,工业机器人
任务8 直线运动指令MoveL,考点;难点,理解,元认知,能使用直线运动指令MoveL,工业机器人
任务9 圆弧运动指令MoveC,考点;难点,理解,元认知,能使用圆弧运动指令MoveC,工业机器人
何时需要更新转数计数器,考点;难点,应用,元认知,能判断何时需要更新转数计数器,工业机器人
使用示教器操作工业机器人动作,考点;难点,应用,事实性,能使用示教器操作工业机器人动作,工业机器人
例行程序,考点;难点,理解,事实性,能描述程序模块例行程序功能特点,工业机器人
偏移指令的使用,考点;难点,理解,程序性,能使用偏移指令编程,工业机器人
关节运动的特点,考点;难点,分析,事实性,能分析关节运动的特点,工业机器人
关闭抓手,考点;难点,创建,程序性,能进行抓手关闭动作,工业机器人
分布式I/O 模块,考点;难点,记忆,事实性,能分析分布式I/O 模块特点,工业机器人
功能,考点;难点,理解,事实性,能描述系统模块功能的特点,工业机器人
单轴运动定义,考点,记忆,概念性,能描述单轴运动定义,工业机器人
单轴运动特点,考点;难点,分析,元认知,能分析单轴运动特点,工业机器人
圆弧运动,考点,分析,事实性,能描述圆弧运动指令轨迹特点,工业机器人
圆弧运动轨迹,考点,理解,事实性,能描述圆弧的运动特点,工业机器人
地址：0 --15,考点,记忆,事实性,能合理分配地址,工业机器人
基本运动指令应用,考点,应用,程序性,能合理选择MoveL指令参数,工业机器人
复位,考点,分析,概念性,能使用复位指令进行编程,工业机器人
外围设备,考点;难点,分析,元认知,能描述常见的外围设备特点,工业机器人
外设控制方法,考点;难点,分析,事实性,能分析外设控制方法,工业机器人
如何创建工件坐标系,考点;难点,创建,程序性,能进行工件坐标系的创建,工业机器人
如何查看赋值结果,考点;难点,评价,程序性,能查看赋值结果,工业机器人
如何确定工件坐标系方向,考点,创建,程序性,能进行工件坐标系方向的确定,工业机器人
如何设定工具数据,考点;难点,分析,程序性,能分析如何设定工具数据,工业机器人
如何进行赋值,考点;难点,创建,程序性,能进行赋值操作,工业机器人
如何进行转数计数器更新,考点,创建,程序性,能进行转数计数器更新,工业机器人
子程序调用指令,考点;难点,记忆,概念性,能使用子程序调用指令,工业机器人
字符串,考点,记忆,事实性,能描述字符串赋值,工业机器人
工业机器人,,,,,工业机器人
工业机器人本体,考点;难点,理解,元认知,能识别工业机器人本体,工业机器人
工业机器人焊接工作站系统组成,考点,分析,元认知,能分析工业机器人焊接工作站系统组成,工业机器人
工业机器人焊接机器人工作流程分析,考点;难点,分析,程序性,能分析工业机器人焊接机器人工作流程,工业机器人
工业机器人的分类,考点,分析,事实性,能进行机器人的分类,工业机器人
工业机器人的单轴运动,考点;难点,理解,事实性,能进行工业机器人的单轴运动,工业机器人
工业机器人的特征,考点,理解,事实性,能描述工业机器人的特征,工业机器人
工业机器人的示教器操作,考点;难点,应用,事实性,能使用工业机器人的示教器,工业机器人
工业机器人的系统组成,考点;难点,分析,事实性,能描述典型的工业机器人的系统组成,工业机器人
工业机器人的线性运动,考点,理解,事实性,能进行工业机器人的线性运动,工业机器人
工业机器人的重定位运动,考点;难点,理解,元认知,能进行工业机器人的重定位运动,工业机器人
工业机器人码垛工作站系统组成,考点,分析,元认知,能分析工业机器人码垛工作站系统组成,工业机器人
工业机器人码垛机器人工作流程分析,考点;难点,分析,程序性,能分析工业机器人码垛机器人工作流程,工业机器人
工业机器人装配工作站系统组成,考点,分析,元认知,能分析工业机器人装配工作站系统组成,工业机器人
工业机器人装配机器人工作流程分析,考点;难点,分析,程序性,能分析工业机器人装配机器人工作流程,工业机器人
工件坐标系的作用,考点;难点,分析,元认知,能描述工件坐标系的作用,工业机器人
工件坐标系的定义,考点,记忆,概念性,能描述工件坐标系的定义,工业机器人
工具中心的位置,考点;难点,分析,事实性,能分析工具中心的位置,工业机器人
工具数据的内容,考点;难点,分析,事实性,能分析工具数据的内容,工业机器人
工具的重量,考点;难点,分析,事实性,能计算工具的重量,工业机器人
布尔量,考点,记忆,事实性,能描述布尔量赋值,工业机器人
常用搬运工具,考点,分析,事实性,能分析常用搬运工具,工业机器人
常见的偏移指令,考点;难点,记忆,事实性,能描述常见的偏移指令,工业机器人
常见的赋值类型,考点,记忆,事实性,能指出常见的赋值类型,工业机器人
常量赋值,考点,记忆,概念性,能描述常量赋值,工业机器人
建立工具坐标系方法,考点,理解,事实性,能描述建立工具坐标系方法,工业机器人
张开抓手,考点;难点,创建,程序性,能进行抓手张开动作,工业机器人
我国对机器人的定义,考点,记忆,概念性,能描述我国对机器人的定义,工业机器人
指令格式,考点;难点,分析,概念性,能分析脉冲指令格式,工业机器人
按照工业机器人的承载重量分类,考点;难点,分析,事实性,能按照工业机器人的承载重量分类,工业机器人
按照工业机器人的用途分类,考点;难点,分析,事实性,能按照工业机器人的用途分类,工业机器人
按照机器人各关节的连接方式分类,考点;难点,分析,事实性,能按照机器人各关节的连接方式分类,工业机器人
挡风玻璃涂胶工作站机器人与外设之间通信,考点;难点,分析,事实性,能使用挡风玻璃涂胶工作站机器人与外设之间通信进行编程,工业机器人
挡风玻璃涂胶工作站机器人工作流程分析,考点;难点,分析,程序性,能分析挡风玻璃涂胶工作站机器人工作流程,工业机器人
挡风玻璃涂胶时的路径设计,考点;难点,分析,事实性,能分析挡风玻璃涂胶时的路径设计,工业机器人
控制方式,考点;难点,分析,事实性,能分析搬运工具控制方式,工业机器人
控制柜,考点;难点,理解,元认知,能识别控制柜,工业机器人
搬运工件时的路径设计,考点;难点,分析,事实性,能进行搬运工件时的路径设计,工业机器人
搬运机器人与外设之间的通信,考点;难点,理解,事实性,能分析机器人与外设之间的通信,工业机器人
搬运机器人工作的特点,考点,分析,元认知,能分析搬运机器人工作的特点,工业机器人
搬运码垛空间运动轨迹设计,考点;难点,分析,事实性,能进行搬运码垛空间运动轨迹设计,工业机器人
数字输入信号DI的相关参数,考点;难点,记忆,概念性,能分析数字输入信号DI的相关参数,工业机器人
数字输出信号DO的相关参数,考点;难点,记忆,概念性,能分析数字输出信号DO的相关参数,工业机器人
数字量,考点,记忆,事实性,能描述数字量赋值,工业机器人
数学表达式赋值,考点,记忆,概念性,能进行数学表达式赋值,工业机器人
机器人I/O板,考点,记忆,概念性,能设置机器人I/O板通信,工业机器人
机器人与外设之间通信,考点;难点,分析,概念性,能设置机器人与外设之间通信,工业机器人
机器人外围设备,考点,理解,元认知,能分析机器人外围设备,工业机器人
机器人常用搬运工具,考点,分析,事实性,能描述机器人常用搬运工具,工业机器人
机器人挡风玻璃涂胶工作站系统组成,考点,分析,元认知,能描述机器人挡风玻璃涂胶工作站系统组成,工业机器人
机器人搬运挡风玻璃工作站工作站系统组成,考点,分析,元认知,能分析机器人搬运挡风玻璃工作站工作站系统组成,工业机器人
机器人搬运挡风玻璃工作站机器人与外设之间通信,考点;难点,分析,事实性,能使用机器人搬运挡风玻璃工作站机器人与外设之间通信进行编程,工业机器人
机器人搬运挡风玻璃工作站机器人工作流程分析,考点;难点,分析,程序性,能分析机器人搬运挡风玻璃工作站机器人工作流程,工业机器人
机器人搬运码垛火花塞工作站工作站系统组成,考点,分析,元认知,能分析机器人搬运码垛火花塞工作站工作站系统组成,工业机器人
机器人搬运码垛火花塞工作站机器人工作流程分析,考点,分析,程序性,能分析机器人搬运码垛火花塞工作站机器人工作流程,工业机器人
机器人输出信号常用的编程指令,考点;难点,应用,事实性,能使用机器人输出信号常用的编程指令,工业机器人
机器人运动轨迹,考点,分析,事实性,能描述机器人运动轨迹,工业机器人
查看运行结果,考点,评价,程序性,能查看偏移指令运动结果,工业机器人
检验工具数据设定的准确度,考点;难点,评价,事实性,能进行工具数据的检验,工业机器人
汽车灯壳涂胶工作站系统组成,考点,分析,元认知,能分析汽车灯壳涂胶工作站系统组成,工业机器人
汽车灯壳涂胶机器人工作流程分析,考点;难点,分析,程序性,能分析汽车灯壳涂胶机器人工作流程,工业机器人
涂胶机器人工作的特点,考点,分析,元认知,能描述涂胶机器人工作的特点,工业机器人
点到点的运动轨迹,考点,理解,事实性,能描述点到点的运动特点,工业机器人
点焊系统,考点,分析,事实性,能分析点焊系统,工业机器人
焊接指令,考点;难点,记忆,概念性,能分析焊接指令,工业机器人
焊接机器人特点,考点,分析,事实性,能描述焊接机器人特点,工业机器人
直线运动,考点,分析,元认知,能描述直线运动指令轨迹特点,工业机器人
直线运动的特点,考点;难点,分析,事实性,能分析直线运动的特点,工业机器人
直线运动轨迹,考点,理解,事实性,能描述直线的运动特点,工业机器人
省去了重复示教的过程,考点,理解,元认知,能描述简化重复示教的意义,工业机器人
码垛机器人空间运动轨迹特点,考点,分析,事实性,能描述码垛机器人空间运动轨迹特点,工业机器人
码垛示教点计算,考点;难点,分析,程序性,能进行码垛示教点计算,工业机器人
码垛空间运动轨迹设计,考点;难点,分析,事实性,能进行码垛空间运动轨迹设计,工业机器人
码放规则分析,考点;难点,分析,程序性,能分析码放规则,工业机器人
示教器,考点;难点,理解,元认知,能够识别示教器,工业机器人
程序数据,考点;难点,理解,事实性,能描述程序模块程序数据功能特点,工业机器人
程序模块,考点;难点,理解,事实性,能描述程序模块组成,工业机器人
程序调试方法,考点;难点,创建,程序性,能进行程序调试,工业机器人
空间圆弧轨迹的路径设计,考点;难点,分析,事实性,能进行空间圆弧轨迹的路径设计,工业机器人
简化编程,考点,理解,元认知,能描述简化编程的意义,工业机器人
系统模块,考点;难点,理解,事实性,能描述系统模块功能特点,工业机器人
线性运动定义,考点;难点,记忆,概念性,能描述线性运动定义,工业机器人
线性运动特点,考点;难点,分析,元认知,能描述线性运动特点,工业机器人
编程应用,考点;难点,应用,程序性,能进行MoveJ编程应用,工业机器人
置位,考点,分析,概念性,能使用置位指令进行编程,工业机器人
美国机器人工业协会（RIA）给出的定义,考点,记忆,概念性,能描述美国机器人工业协会（RIA）给出的定义,工业机器人
脉冲指令,考点,记忆,概念性,能使用脉冲指令进行编程,工业机器人
装配任务分析,考点,分析,事实性,能进行装配任务分析,工业机器人
装配机器人空间运动轨迹特点,考点,分析,事实性,能描述装配机器人空间运动轨迹特点,工业机器人
认识工业机器人的六个轴,考点;难点,应用,元认知,能识别工业机器人的六个轴,工业机器人
